Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/12/2015 11:53:00 AM,Honda,Black,P455233,Illinois,1531.0,W,WALTON,ST,1514,W,WALTON,,Peoples Gas,15-02664697
06/12/2015 11:50:00 AM,Chevrolet,White,S113919,Illinois,3710.0,W,76TH,PL,3731,W,PIPPIN,,CDOT Curb and Gutter,15-02664330
06/12/2015 11:50:00 AM,Volkswagen,Gray,L928032,Illinois,1200.0,S,LAKE SHORE,DR,44,E,ROOSEVELT,,Broken Down,15-02664260
06/12/2015 11:05:00 AM,Ford,Gray,N321297,Illinois,220.0,N,CLARK,ST,400,E,WACKER DRIVE LOWER LEVEL,,Accident,15-02663286
06/12/2015 11:05:00 AM,Saturn,Blue,P190992,Illinois,1427.0,W,BYRON,ST,1541,W,WOLFRAM,,CDOT Street Resurfacing,15-02663563
06/12/2015 11:01:00 AM,Pontiac,Silver,L471535,Illinois,4150.0,S,FRANCISCO,AVE,4154,S,FRANCISCO,,CDOT Street Resurfacing,15-02663782
06/12/2015 10:55:00 AM,Honda,Silver,R209754,Illinois,8518.0,W,GREGORY,ST,5531,N,CHESTER,,CDOT Curb and Gutter,15-02663564
06/12/2015 10:28:00 AM,Ford,Black,E734924,Illinois,7054.0,S,CHAPPEL,AVE,7059,S,CHAPPLE,,Water Management,15-02662842
06/12/2015 10:25:00 AM,Pontiac,Gray,E708090,Illinois,4317.0,W,ALTGELD,ST,4303,W,WRIGHTWOOD,,Water Management,15-02662510
06/12/2015 10:25:00 AM,(Unlisted Make),White,P492390,Illinois,1432.0,W,BYRON,ST,1542,W,WOLFRAM,,CDOT Street Resurfacing,15-02662813
06/12/2015 10:20:00 AM,Nissan,Silver,V946267,Illinois,7056.0,S,CHAPPEL,AVE,7029,S,CHAPPLE,,Water Management,15-02662841
06/12/2015 10:17:00 AM,Volkswagen,Blue,FLP3970,Ohio,2434.0,N,SAWYER,AVE,2415,N,SAWYER,,Forestry,15-02662494
06/12/2015 10:15:00 AM,Toyota,Gray,S722579,Illinois,4317.0,W,ALTGELD,ST,2454,N,LOWELL,,Water Management,15-02662509
06/12/2015 10:04:00 AM,Lincoln,Black,S924667,Illinois,7058.0,S,CHAPPEL,AVE,7055,S,CHAPPLE,,Water Management,15-02662763
06/12/2015 09:55:00 AM,Chevrolet,Blue,3LGE26,Michigan,7030.0,S,CHAPPEL,AVE,7021,S,CHAPPLE,,Water Management,15-02662762
